id,title,igdb_id,cover_url,nominator
"bfaeac77-cca6-4724-9232-34075aa024c6","A Plague Tale Innocence","27316","https://images.igdb.com/igdb/image/upload/t_1080p/co1lat.jpg","Lucas"
"2e97c172-2fbb-46fd-b83d-75625fd118ca","Absolum","334239","https://images.igdb.com/igdb/image/upload/t_cover_big/coatin.jpg","Matheus"
"04882423-76be-4b7d-b6b3-3fe13277c736","Alundra","1175","https://images.igdb.com/igdb/image/upload/t_1080p/co3tlr.jpg","Lucas"
"a2a622b5-8b65-4a40-8c27-a3970521a810","As Aventuras de Batman e Robin","5346","https://images.igdb.com/igdb/image/upload/t_1080p/co6379.jpg","Lucas"
"99f8b05f-eb09-48af-8dc1-d232c8cac88b","Astral Ascent","180876","https://images.igdb.com/igdb/image/upload/t_1080p/co4o04.jpg","Lucas"
"701ae159-47e2-40b2-a6fc-517fcae2f740","Baldur's Gate 3","119171","https://images.igdb.com/igdb/image/upload/t_1080p/co670h.jpg","Matheus"
"c1082d5b-cb3e-420e-94a6-aa3a26b10150","Baldur's Gate Dark Alliance","83","https://images.igdb.com/igdb/image/upload/t_1080p/co1tay.jpg","Lucas"
"3b7f1ff6-33e1-4056-bc9f-f3e45c6f3701","Batman Arkham City","501","https://images.igdb.com/igdb/image/upload/t_1080p/co1voh.jpg","Lucas"
"3a40c28e-2d52-4dc5-aa16-43d1b4ff0fe6","Batman Arkham Origins","2003","https://images.igdb.com/igdb/image/upload/t_1080p/co1nmd.jpg","Lucas"
"8ee27090-8b41-44dd-ad77-787d38a945a8","Batman: Arkham Knight","5503","https://images.igdb.com/igdb/image/upload/t_1080p/coagib.jpg","Lucas"
"5ab720e9-0215-4e2a-abd9-48be5efa6ec3","Besiege","9047","https://images.igdb.com/igdb/image/upload/t_1080p/co9cnc.jpg","Yan"
"4836d380-6281-45b8-8a27-bc185ad3b816","Bioshock","20","https://images.igdb.com/igdb/image/upload/t_1080p/co2n12.jpg","Lucas"***, imagem errada
"bba5217d-f317-4f25-ba12-b225dec2ade4","Blasphemous","26820","https://images.igdb.com/igdb/image/upload/t_1080p/cob0xj.jpg","Lucas"
"abb364be-e798-40a5-98db-0c7702eff35c","Blasphemous II","165390","https://images.igdb.com/igdb/image/upload/t_1080p/co6ej3.jpg","Matheus"
"ac78c8fd-15c3-457d-b861-4a4f6836a577","Bomberman 4","80539","https://images.igdb.com/igdb/image/upload/t_1080p/co2rh0.jpg","Lucas"
"24c2b172-cee2-4308-a3ad-e7c658b69468","Brothers: A Tale of Two Sons","1334","https://images.igdb.com/igdb/image/upload/t_1080p/co1rro.jpg","Matheus"
"fe70ab70-277e-4b1e-9c04-931c3e843b10","Caravan SandWitch","145029","https://images.igdb.com/igdb/image/upload/t_cover_big/co8bmd.jpg","Lucas"
"4a52049d-d647-4057-b6cf-f2a4dea7d034","Castlevania Symphony","1128","https://images.igdb.com/igdb/image/upload/t_1080p/co53m8.jpg","Lucas"***, registro duplicado
"8a1e0a86-4b7d-4819-af60-07ac0a46aa2a","Castlevania: Aria of Sorrow","1134","https://images.igdb.com/igdb/image/upload/t_1080p/cob947.jpg","Matheus"
"c8bbff0e-d2e8-4c15-8699-9f9cf9d586ef","Castlevania: Symphony of the Night","1128","https://images.igdb.com/igdb/image/upload/t_1080p/co53m8.jpg","Matheus"
"1c281860-1c63-41d3-87f4-49bc812bcb45","Cat Quest","36597","https://images.igdb.com/igdb/image/upload/t_1080p/co8cp4.jpg","Lucas", imagem errada
"24e7d389-3d3b-4074-a61f-208a0a6e1732","Celeste","26226","https://images.igdb.com/igdb/image/upload/t_1080p/cob9dh.jpg","Lucas"
"40f0ab7e-b6db-4d3a-a04c-15e7b1a56590","Champions of Norrath: Realms of EverQuest","9813","https://images.igdb.com/igdb/image/upload/t_1080p/co6e7d.jpg","Lucas"
"81451474-2861-452e-832a-bce4fa1b53f7","Chaos Legion","2917","https://images.igdb.com/igdb/image/upload/t_1080p/co4psj.jpg","Yan"
"b00a0ba6-f3ea-433f-ba5b-59bb31be7e35","Child of Light","4756","https://images.igdb.com/igdb/image/upload/t_cover_big/co21q2.jpg","Matheus"
"fe72df2f-6e7f-4c71-9031-22a4e0cfa8ff","Children of Morta","36198","https://images.igdb.com/igdb/image/upload/t_1080p/co2iw2.jpg","Lucas"
"de9a6c82-1e2b-47a9-b7b3-3347fbe9e351","Chrono Cross","1804","https://images.igdb.com/igdb/image/upload/t_1080p/co1oj7.jpg","Lucas"
"cd482c2f-4a70-4a4e-99f0-84e6fd7666d7","Chrono Trigger","1802","https://images.igdb.com/igdb/image/upload/t_1080p/co3plw.jpg","Matheus"
"60beff6c-8e29-46b9-b711-b3758b28aa5f","Clair Obscur: Expedition 33","305152","https://images.igdb.com/igdb/image/upload/t_cover_big/co9gam.jpg","Matheus"
"e4240be1-357e-49bb-a3a1-cc4853ae9c9c","Control","103329","https://images.igdb.com/igdb/image/upload/t_1080p/cob5pu.jpg","Matheus"***, imagem errada
"e6e4bf7d-4977-4a93-8d10-8e1a3a389dec","Crash Bandicoot","1185","https://images.igdb.com/igdb/image/upload/t_cover_big/co555l.jpg","Lucas"
"a2d332ca-9a03-4d2a-b4a3-aea37714fca5","Nightmare Creatures","3414","https://images.igdb.com/igdb/image/upload/t_1080p/co5j7q.jpg","Lucas", nome errado
"f9788bca-a813-49c6-8cbd-1b5fcc2c99f7","Cyberpunk 2077","1877","https://images.igdb.com/igdb/image/upload/t_1080p/coaih8.jpg","Matheus"
"76af515a-e217-4ff8-b6c4-42646df15d93","Dark Souls","2155","https://images.igdb.com/igdb/image/upload/t_1080p/co1x78.jpg","Ygnos, The Mage"
"9b09278e-b3d4-4980-a468-72651318048e","Dead Cells","26855","https://images.igdb.com/igdb/image/upload/t_1080p/coa3hi.jpg","Lucas"
"9fe884cb-0ebf-4a98-9928-72af4e29f904","Death's Gambit","14760","https://images.igdb.com/igdb/image/upload/t_1080p/co28qr.jpg","Lucas", nome errado
"6ee73f78-5cca-4a9e-9339-944c06951d90","Death Stranding","19564","https://images.igdb.com/igdb/image/upload/t_1080p/cobksf.jpg","Lucas", nome errado
"433ea7af-3a15-4b42-bba8-8b216f5cbec2","Demon's Crest","18067","https://images.igdb.com/igdb/image/upload/t_1080p/co69t5.jpg","Yan"
"da2ea212-1c46-4cf6-8682-9b432fdaace4","Detroit Become Human","14362","https://images.igdb.com/igdb/image/upload/t_1080p/co6mzf.jpg","Matheus"
"10c8ec6a-2124-4617-a63d-039759f0d9ae","Disco Elysium","26472","https://images.igdb.com/igdb/image/upload/t_1080p/co2ip6.jpg","Matheus", imagem errada
"015560b7-65dd-432a-8144-ce92ea855a7a","Dishonored Definitive Edition","41590","https://images.igdb.com/igdb/image/upload/t_1080p/coabgu.jpg","Matheus", imagem errada
"aca58e55-e203-4511-b056-4c68fbb50506","Donkey Kong","1086","https://images.igdb.com/igdb/image/upload/t_1080p/co217n.jpg","Matheus", nome errado e imagem errada
"e112c8c1-9ad4-4584-adaa-101524ba2897","Donkey Kong Country","1090","https://images.igdb.com/igdb/image/upload/t_cover_big/co70qn.jpg","Matheus"
"2967a7e1-097e-4d43-9747-6d3110182454","Dragon Age Inquisition","1887","https://images.igdb.com/igdb/image/upload/t_1080p/co2mvy.jpg","Lucas"
"ec81a225-808c-4710-9973-4cacaf389a31","Dragon Quest","239185","https://images.igdb.com/igdb/image/upload/t_1080p/co7wt9.jpg","Matheus", imagem errada
"78d8259e-0bd2-4cb9-bd8f-f105340e52d0","Dragon Quest (1989)","239185","https://images.igdb.com/igdb/image/upload/t_1080p/co7wt9.jpg","Matheus", jogo duplicado
"d0a75228-9e0f-498f-b325-106b2ae9df83","Dragon's Dogma","3968","https://images.igdb.com/igdb/image/upload/t_1080p/co833w.jpg","Matheus", nome e imagem errada
"15cbf5f8-2bb3-41bd-889c-596dc00453ce","Dungeons of Hinterberg","146917","https://images.igdb.com/igdb/image/upload/t_1080p/co8oq4.jpg","Lucas"
"83a058d8-4f70-4279-a4e2-a9cc63ba0739","Elden Ring","119133","https://images.igdb.com/igdb/image/upload/t_1080p/co4jni.jpg","Matheus"
"2cc8abe8-1406-44e9-8627-0b606be51ed5","Enshrouded","248643","https://images.igdb.com/igdb/image/upload/t_1080p/cob9vp.jpg","Ygnos, The Mage"
"54642b02-e0f9-486a-b6c5-5dd2ed68b92a","Fallout New Vegas","16","https://images.igdb.com/igdb/image/upload/t_1080p/co1u60.jpg","Matheus"
"03cbbdef-fb11-4170-81f1-87326d2ee35d","Fallout: New Vegas","16","https://images.igdb.com/igdb/image/upload/t_1080p/co1u60.jpg","Matheus", jogo duplicado
"ba7d6a32-88f3-4c8d-a646-62bbda713416","Figment","20329","https://images.igdb.com/igdb/image/upload/t_cover_big/co691d.jpg","Matheus"
"95b9d312-7e0d-4d67-a866-3b0b2a13c085","Final Fantasy VII Remake","11169","https://images.igdb.com/igdb/image/upload/t_1080p/cobcwt.jpg","Lucas"
"5c36fcf9-8a6e-46c4-9ec2-8c566c194c34","Final Fantasy X","418","https://images.igdb.com/igdb/image/upload/t_1080p/co1tr1.jpg","Lucas"
"78286006-60a1-4385-9bff-328abcc1dbcb","Forza Horizon 6","348330","https://images.igdb.com/igdb/image/upload/t_cover_big/cobc5n.jpg","Matheus"
"d28fbf26-1c09-4752-8d73-bd05b04c4b5b","Gauntlet","7293","https://images.igdb.com/igdb/image/upload/t_cover_big/co2fon.webp","Yan"
"db980838-5e20-4740-aea4-c4ddfda15009","Gauntlet Seven Sorrows","5844","https://images.igdb.com/igdb/image/upload/t_1080p/co5j83.jpg","Lucas"
