id,igdb_id,csv_title,igdb_title,title_match,csv_cover_url,igdb_cover_url,cover_match,nominator,comment,audit_status
40f0ab7e-b6db-4d3a-a04c-15e7b1a56590,9813,Champions of Norrath: Realms of EverQuest,Champions of Norrath: Realms of EverQuest,Match,https://images.igdb.com/igdb/image/upload/t_1080p/co6e7d.jpg,https://images.igdb.com/igdb/image/upload/t_cover_big/co6e7d.jpg,Match,Lucas,,OK
81451474-2861-452e-832a-bce4fa1b53f7,2917,Chaos Legion,Chaos Legion,Match,https://images.igdb.com/igdb/image/upload/t_1080p/co4psj.jpg,https://images.igdb.com/igdb/image/upload/t_cover_big/co4psj.jpg,Match,Yan,,OK
b00a0ba6-f3ea-433f-ba5b-59bb31be7e35,4756,Child of Light,Child of Light,Match,https://images.igdb.com/igdb/image/upload/t_cover_big/co21q2.jpg,https://images.igdb.com/igdb/image/upload/t_cover_big/co21q2.jpg,Match,Matheus,,OK
fe72df2f-6e7f-4c71-9031-22a4e0cfa8ff,36198,Children of Morta,Children of Morta,Match,https://images.igdb.com/igdb/image/upload/t_1080p/co2iw2.jpg,https://images.igdb.com/igdb/image/upload/t_cover_big/co2iw2.jpg,Match,Lucas,,OK
de9a6c82-1e2b-47a9-b7b3-3347fbe9e351,1804,Chrono Cross,Chrono Cross,Match,https://images.igdb.com/igdb/image/upload/t_1080p/co1oj7.jpg,https://images.igdb.com/igdb/image/upload/t_cover_big/co1oj7.jpg,Match,Lucas,,OK
cd482c2f-4a70-4a4e-99f0-84e6fd7666d7,1802,Chrono Trigger,Chrono Trigger,Match,https://images.igdb.com/igdb/image/upload/t_1080p/co3plw.jpg,https://images.igdb.com/igdb/image/upload/t_cover_big/co3plw.jpg,Match,Matheus,,OK
60beff6c-8e29-46b9-b711-b3758b28aa5f,305152,Clair Obscur: Expedition 33,Clair Obscur: Expedition 33,Match,https://images.igdb.com/igdb/image/upload/t_cover_big/co9gam.jpg,https://images.igdb.com/igdb/image/upload/t_cover_big/co9gam.jpg,Match,Matheus,,OK
e4240be1-357e-49bb-a3a1-cc4853ae9c9c,103329,Control,Control,Match,https://images.igdb.com/igdb/image/upload/t_1080p/cob5pu.jpg,https://images.igdb.com/igdb/image/upload/t_cover_big/co2evj.jpg,Mismatch,Matheus,imagem errada,COVER_MISMATCH
e6e4bf7d-4977-4a93-8d10-8e1a3a389dec,1185,Crash Bandicoot,Crash Bandicoot,Match,https://images.igdb.com/igdb/image/upload/t_cover_big/co555l.jpg,https://images.igdb.com/igdb/image/upload/t_cover_big/co555l.jpg,Match,Lucas,,OK
a2d332ca-9a03-4d2a-b4a3-aea37714fca5,3414,Nightmare Creatures,Nightmare Creatures,Match,https://images.igdb.com/igdb/image/upload/t_1080p/co5j7q.jpg,https://images.igdb.com/igdb/image/upload/t_cover_big/co5j7q.jpg,Match,Lucas,nome errado,OK
f9788bca-a813-49c6-8cbd-1b5fcc2c99f7,1877,Cyberpunk 2077,Cyberpunk 2077,Match,https://images.igdb.com/igdb/image/upload/t_1080p/coaih8.jpg,https://images.igdb.com/igdb/image/upload/t_cover_big/coaih8.jpg,Match,Matheus,,OK
76af515a-e217-4ff8-b6c4-42646df15d93,2155,Dark Souls,Dark Souls,Match,https://images.igdb.com/igdb/image/upload/t_1080p/co1x78.jpg,https://images.igdb.com/igdb/image/upload/t_cover_big/co1x78.jpg,Match,"Ygnos, The Mage",,OK
9b09278e-b3d4-4980-a468-72651318048e,26855,Dead Cells,Dead Cells,Match,https://images.igdb.com/igdb/image/upload/t_1080p/coa3hi.jpg,https://images.igdb.com/igdb/image/upload/t_cover_big/co7jfv.jpg,Mismatch,Lucas,,COVER_MISMATCH
9fe884cb-0ebf-4a98-9928-72af4e29f904,14760,Death's Gambit,Death's Gambit,Match,https://images.igdb.com/igdb/image/upload/t_1080p/co28qr.jpg,https://images.igdb.com/igdb/image/upload/t_cover_big/co28qr.jpg,Match,Lucas,nome errado,OK
6ee73f78-5cca-4a9e-9339-944c06951d90,19564,Death Stranding,Death Stranding,Match,https://images.igdb.com/igdb/image/upload/t_1080p/cobksf.jpg,https://images.igdb.com/igdb/image/upload/t_cover_big/cobksf.jpg,Match,Lucas,nome errado,OK
433ea7af-3a15-4b42-bba8-8b216f5cbec2,18067,Demon's Crest,Demon's Crest,Match,https://images.igdb.com/igdb/image/upload/t_1080p/co69t5.jpg,https://images.igdb.com/igdb/image/upload/t_cover_big/co69t5.jpg,Match,Yan,,OK
da2ea212-1c46-4cf6-8682-9b432fdaace4,14362,Detroit Become Human,Detroit: Become Human,Punctuation Mismatch,https://images.igdb.com/igdb/image/upload/t_1080p/co6mzf.jpg,https://images.igdb.com/igdb/image/upload/t_cover_big/co6mzf.jpg,Match,Matheus,,MINOR_TITLE_DEVIATION (PUNCTUATION_MISMATCH)
10c8ec6a-2124-4617-a63d-039759f0d9ae,26472,Disco Elysium,Disco Elysium,Match,https://images.igdb.com/igdb/image/upload/t_1080p/co2ip6.jpg,https://images.igdb.com/igdb/image/upload/t_cover_big/co1sfj.jpg,Mismatch,Matheus,imagem errada,COVER_MISMATCH
015560b7-65dd-432a-8144-ce92ea855a7a,41590,Dishonored Definitive Edition,Dishonored: Definitive Edition,Punctuation Mismatch,https://images.igdb.com/igdb/image/upload/t_1080p/coabgu.jpg,https://images.igdb.com/igdb/image/upload/t_cover_big/coa4rb.jpg,Mismatch,Matheus,imagem errada,COVER_MISMATCH
aca58e55-e203-4511-b056-4c68fbb50506,1086,Donkey Kong,Donkey Kong,Match,https://images.igdb.com/igdb/image/upload/t_1080p/co217n.jpg,https://images.igdb.com/igdb/image/upload/t_cover_big/co546n.jpg,Mismatch,Matheus,nome errado e imagem errada,COVER_MISMATCH
e112c8c1-9ad4-4584-adaa-101524ba2897,1090,Donkey Kong Country,Donkey Kong Country,Match,https://images.igdb.com/igdb/image/upload/t_cover_big/co70qn.jpg,https://images.igdb.com/igdb/image/upload/t_cover_big/co70qn.jpg,Match,Matheus,,OK
2967a7e1-097e-4d43-9747-6d3110182454,1887,Dragon Age Inquisition,Dragon Age: Inquisition,Punctuation Mismatch,https://images.igdb.com/igdb/image/upload/t_1080p/co2mvy.jpg,https://images.igdb.com/igdb/image/upload/t_cover_big/co2mvy.jpg,Match,Lucas,,MINOR_TITLE_DEVIATION (PUNCTUATION_MISMATCH)
